Month,"Natural Gas Price, Wellhead","Natural Gas Price, Citygate","Natural Gas Price, Delivered to Consumers, Residential",Percentage of Residential Sector Consumption for Which Price Data Are Available,"Natural Gas Price, Delivered to Consumers, Commercial",Percentage of Commercial Sector Consumption for Which Price Data Are Available,"Natural Gas Price, Delivered to Consumers, Industrial",Percentage of Industrial Sector Consumption for Which Price Data Are Available,Natural Gas Transportation Sector Price,"Natural Gas Price, Electric Power Sector",Percentage of Electric Power Sector Consumption for Which Price Data Are Available
,(Dollars per Thousand Cubic Feet),(Dollars per Thousand Cubic Feet),(Dollars per Thousand Cubic Feet),(Percent),(Dollars per Thousand Cubic Feet),(Percent),(Dollars per Thousand Cubic Feet),(Percent),(Dollars per Thousand Cubic Feet),(Dollars per Thousand Cubic Feet),(Percent)
1987 February,1.73,3.03,5.34,Not Available,4.79,Not Available,3.3,Not Available,Not Available,2.46,Not Available
1987 March,1.73,2.91,5.36,Not Available,4.8,Not Available,3.16,Not Available,Not Available,2.4,Not Available
1987 April,1.69,2.86,5.46,Not Available,4.9,Not Available,2.99,Not Available,Not Available,2.38,Not Available
1987 May,1.65,2.81,5.98,Not Available,4.88,Not Available,2.81,Not Available,Not Available,2.31,Not Available
1987 June,1.65,2.84,6.55,Not Available,4.87,Not Available,2.76,Not Available,Not Available,2.3,Not Available
1987 July,1.66,2.92,6.78,Not Available,4.78,Not Available,2.81,Not Available,Not Available,2.33,Not Available
1987 August,1.63,2.89,6.84,Not Available,4.77,Not Available,2.74,Not Available,Not Available,2.26,Not Available
1987 September,1.56,2.83,6.64,Not Available,4.6,Not Available,2.75,Not Available,Not Available,2.19,Not Available
1987 October,1.57,2.69,5.85,Not Available,4.62,Not Available,2.77,Not Available,Not Available,2.26,Not Available
1987 November,1.64,2.76,5.42,Not Available,4.66,Not Available,2.89,Not Available,Not Available,2.28,Not Available
1987 December,1.7,2.84,5.13,Not Available,4.67,Not Available,3.01,Not Available,Not Available,2.53,Not Available
1988 January,1.96,2.91,5.08,Not Available,4.6,93.8,3.18,48.8,Not Available,2.6,Not Available
1988 February,1.84,2.95,5.09,Not Available,4.69,93.3,3.22,47.9,Not Available,2.56,Not Available
1988 March,1.7,2.87,5.18,Not Available,4.69,92.5,3.13,43.3,Not Available,2.32,Not Available
1988 April,1.59,2.79,5.35,Not Available,4.71,91.7,2.97,42.7,Not Available,2.2,Not Available
1988 May,1.52,2.75,5.87,Not Available,4.61,89.4,2.76,39.2,Not Available,2.1,Not Available
1988 June,1.53,2.87,6.5,Not Available,4.53,87.5,2.67,37.9,Not Available,2.16,Not Available
1988 July,1.56,2.87,6.74,Not Available,4.48,86.3,2.54,38.8,Not Available,2.23,Not Available
1988 August,1.62,2.92,6.92,Not Available,4.37,87.2,2.66,38.8,Not Available,2.36,Not Available
1988 September,1.53,3.05,6.79,Not Available,4.41,87.6,2.7,41.2,Not Available,2.36,Not Available
1988 October,1.68,2.92,5.95,Not Available,4.53,87.4,2.8,43.3,Not Available,2.4,Not Available
1988 November,1.76,2.98,5.56,Not Available,4.69,88.7,3,42.1,Not Available,2.58,Not Available
1988 December,1.89,3.08,5.39,Not Available,4.78,89.7,3.31,44.4,Not Available,2.57,Not Available
1989 January,1.99,3.17,5.41,Not Available,4.81,91,3.37,41.1,Not Available,2.63,Not Available
1989 February,1.81,3.1,5.38,Not Available,4.8,91.2,3.31,39.9,Not Available,2.44,Not Available
1989 March,1.69,2.89,5.45,Not Available,4.79,90.8,3.1,38.2,Not Available,2.32,Not Available
1989 April,1.56,2.83,5.54,Not Available,4.77,89.2,2.89,36.8,Not Available,2.31,Not Available
1989 May,1.61,2.94,5.93,Not Available,4.64,88.2,2.78,35.9,Not Available,2.39,Not Available
1989 June,1.65,2.98,6.58,Not Available,4.57,86.1,2.67,37,Not Available,2.4,Not Available
1989 July,1.65,3.08,6.92,Not Available,4.65,85.1,2.68,34,Not Available,2.4,Not Available
1989 August,1.61,3.04,7.07,Not Available,4.61,85.1,2.69,32.8,Not Available,2.38,Not Available
1989 September,1.55,2.99,6.8,Not Available,4.67,84.6,2.66,33.8,Not Available,2.33,Not Available
